Coefficient of Determination, C Value, Gamma Value
0.6864856253423108,0.1,0.1
0.708459355371713,0.2,0.1
0.716119795209293,0.3,0.1
0.7231753259947808,0.4,0.1
0.726395096557001,0.5,0.1
0.7289012029856293,0.6,0.1
0.7320259616036124,0.7,0.1
0.7337270663358759,0.8,0.1
0.735377883248727,0.9,0.1
0.7379304509491205,1.0,0.1
0.7406091521157661,1.1,0.1
0.742090336982403,1.2,0.1
0.7430482803692402,1.3,0.1
0.7435160794122596,1.4,0.1
0.7445857441435019,1.5,0.1
0.7467953307115227,1.6,0.1
0.7479228184318958,1.7,0.1
0.7484276839758803,1.8,0.1
0.7492190404449454,1.9,0.1
0.7500369970957763,2.0,0.1
0.7506159097178953,2.1,0.1
0.7509821569629322,2.2,0.1
0.7513189735587729,2.3,0.1
0.7520318382871768,2.4,0.1
0.7522127801477149,2.5,0.1
0.7525513476681152,2.6,0.1
0.7531410728087157,2.7,0.1
0.7540593328108188,2.8,0.1
0.7543911865755568,2.9,0.1
0.7548187554594632,3.0,0.1
0.7552600463442607,3.1,0.1
0.7555013402021462,3.2,0.1
0.7558500425563444,3.3,0.1
0.7562331689303332,3.4,0.1
0.7566175452528322,3.5,0.1
0.7567474805284358,3.6,0.1
0.7566167527716172,3.7,0.1
0.7565109384664852,3.8,0.1
0.7564273702809482,3.9,0.1
0.7565388252384919,4.0,0.1
0.7566615517779728,4.1,0.1
0.7566928787272751,4.2,0.1
0.7566737388171657,4.3,0.1
0.7567514075986447,4.4,0.1
0.7569768164255817,4.5,0.1
0.7570942260795973,4.6,0.1
0.7570472647064422,4.7,0.1
0.7570475388266825,4.8,0.1
0.7571485332447971,4.9,0.1
0.7573738329000324,5.0,0.1
0.6851322685625292,0.1,0.2
0.712731884607237,0.2,0.2
0.7251262207540434,0.3,0.2
0.7344249258005902,0.4,0.2
0.7403530417902542,0.5,0.2
0.7431989155486496,0.6,0.2
0.7459430846097077,0.7,0.2
0.7489721054363012,0.8,0.2
0.7505898362151875,0.9,0.2
0.7516484339903448,1.0,0.2
0.7526860532989924,1.1,0.2
0.7541941678306149,1.2,0.2
0.7555017759204785,1.3,0.2
0.756594297320786,1.4,0.2
0.7578053664751807,1.5,0.2
0.7590151026722393,1.6,0.2
0.7604185200412178,1.7,0.2
0.7614704962898468,1.8,0.2
0.7617845359188915,1.9,0.2
0.7618576774950946,2.0,0.2
0.7620722434538979,2.1,0.2
0.7621857576142983,2.2,0.2
0.762518490482687,2.3,0.2
0.762819932526771,2.4,0.2
0.7632620007493007,2.5,0.2
0.7635900442070194,2.6,0.2
0.7636955881599745,2.7,0.2
0.7638022537445089,2.8,0.2
0.7639101118616558,2.9,0.2
0.764006225933658,3.0,0.2
0.7639918724145431,3.1,0.2
0.7640204349205052,3.2,0.2
0.7639211543489073,3.3,0.2
0.7637484717176076,3.4,0.2
0.7635247069265265,3.5,0.2
0.7635648100989896,3.6,0.2
0.763737825206026,3.7,0.2
0.7636500978395011,3.8,0.2
0.763349952188769,3.9,0.2
0.7630947024589929,4.0,0.2
0.76310539850787,4.1,0.2
0.7632897518199054,4.2,0.2
0.7636795223997737,4.3,0.2
0.7639449067266469,4.4,0.2
0.7641220851354598,4.5,0.2
0.764164145180589,4.6,0.2
0.7643103631882131,4.7,0.2
0.7644162393215366,4.8,0.2
0.7645411499062735,4.9,0.2
0.7646614698637049,5.0,0.2
0.6818865262553628,0.1,0.3
0.7102012072498227,0.2,0.3
0.7267789294633553,0.3,0.3
0.7358128020433282,0.4,0.3
0.742616040112752,0.5,0.3
0.7472599731534346,0.6,0.3
0.751110294971753,0.7,0.3
0.7529470259538211,0.8,0.3
0.7551050260835369,0.9,0.3
0.7563668992730893,1.0,0.3
0.7576251538698737,1.1,0.3
0.7585969127650638,1.2,0.3
0.7591377906132859,1.3,0.3
0.7598118334954206,1.4,0.3
0.7604223493197367,1.5,0.3
0.7605759116843853,1.6,0.3
0.7607257928793173,1.7,0.3
0.7606593369256159,1.8,0.3
0.7606034438154351,1.9,0.3
0.7605392355562992,2.0,0.3
0.7606482524267562,2.1,0.3
0.760551585814467,2.2,0.3
0.7600460662260309,2.3,0.3
0.7596264412610514,2.4,0.3
0.7589944491583428,2.5,0.3
0.7586241544483363,2.6,0.3
0.7589963630986184,2.7,0.3
0.7593115588848944,2.8,0.3
0.759715417406891,2.9,0.3
0.7602055856528613,3.0,0.3
0.7605747639908562,3.1,0.3
0.7608001872307744,3.2,0.3
0.7609823464937878,3.3,0.3
0.7611726550323336,3.4,0.3
0.7613818838146708,3.5,0.3
0.7615327401770422,3.6,0.3
0.7616132485435796,3.7,0.3
0.7615328126892327,3.8,0.3
0.7615321663117212,3.9,0.3
0.7615386674797159,4.0,0.3
0.761594432196748,4.1,0.3
0.7616695599791928,4.2,0.3
0.7618616708793251,4.3,0.3
0.7619783627818155,4.4,0.3
0.7619894685607718,4.5,0.3
0.7621122134555454,4.6,0.3
0.7621779229205534,4.7,0.3
0.7620867013121961,4.8,0.3
0.7620558340811399,4.9,0.3
0.7618822325054361,5.0,0.3
0.6773407268650021,0.1,0.4
0.7068351406678085,0.2,0.4
0.7237213940638035,0.3,0.4
0.7358199300540665,0.4,0.4
0.7419175701901436,0.5,0.4
0.746376459857654,0.6,0.4
0.7503989040894228,0.7,0.4
0.7507150687098354,0.8,0.4
0.7521187518854417,0.9,0.4
0.7535361033070394,1.0,0.4
0.7547047455729766,1.1,0.4
0.7555982906742921,1.2,0.4
0.7558838382456321,1.3,0.4
0.7558558765210517,1.4,0.4
0.7557847081295761,1.5,0.4
0.7561077460169484,1.6,0.4
0.7564333688194435,1.7,0.4
0.756753233357835,1.8,0.4
0.756686297947619,1.9,0.4
0.7565828917553569,2.0,0.4
0.7564987808581365,2.1,0.4
0.7564177247625591,2.2,0.4
0.7562302541473311,2.3,0.4
0.7561536201369022,2.4,0.4
0.7561815395158101,2.5,0.4
0.7562430484905492,2.6,0.4
0.7562402924431153,2.7,0.4
0.7560310334308964,2.8,0.4
0.7556332497052148,2.9,0.4
