Date/Time,Energy Delivered (Wh)
01/01/2019,"26,215"
01/02/2019,"19,614"
01/03/2019,"16,348"
01/04/2019,"26,394"
01/05/2019,"16,983"
01/06/2019,"5,013"
01/07/2019,"6,061"
01/08/2019,"21,177"
01/09/2019,"16,234"
01/10/2019,"4,162"
01/11/2019,"14,079"
01/12/2019,"25,279"
01/13/2019,"16,910"
01/14/2019,"26,069"
01/15/2019,"25,310"
01/16/2019,"25,162"
01/17/2019,"25,212"
01/18/2019,"25,357"
01/19/2019,"5,999"
01/20/2019,"13,348"
01/21/2019,"10,036"
01/22/2019,"25,680"
01/23/2019,"21,346"
01/24/2019,"16,269"
01/25/2019,"25,027"
01/26/2019,"21,262"
01/27/2019,"18,903"
01/28/2019,"13,916"
01/29/2019,"22,785"
01/30/2019,"11,345"
01/31/2019,"20,596"
02/01/2019,"4,562"
02/02/2019,"12,562"
02/03/2019,"25,758"
02/04/2019,"11,805"
02/05/2019,"11,423"
02/06/2019,"21,300"
02/07/2019,"25,958"
02/08/2019,"15,111"
02/09/2019,"24,868"
02/10/2019,"27,625"
02/11/2019,"26,232"
02/12/2019,"25,209"
02/13/2019,"24,658"
02/14/2019,"24,632"
02/15/2019,"26,318"
02/16/2019,"20,533"
02/17/2019,"25,518"
02/18/2019,"23,490"
02/19/2019,"17,001"
02/20/2019,"4,145"
02/21/2019,"13,411"
02/22/2019,"13,201"
02/23/2019,"15,839"
02/24/2019,"17,098"
02/25/2019,"23,817"
02/26/2019,"22,824"
02/27/2019,"7,275"
02/28/2019,"23,711"
03/01/2019,"17,878"
03/02/2019,"21,745"
03/03/2019,"22,963"
03/04/2019,"21,983"
03/05/2019,"17,753"
03/06/2019,"9,642"
03/07/2019,"20,893"
03/08/2019,"22,163"
03/09/2019,"7,165"
03/10/2019,"18,111"
03/11/2019,"13,923"
03/12/2019,"21,979"
03/13/2019,"5,389"
03/14/2019,"7,718"
03/15/2019,"12,664"
03/16/2019,"9,320"
03/17/2019,"1,896"
03/18/2019,"7,545"
03/19/2019,"17,549"
03/20/2019,"13,797"
03/21/2019,"13,951"
03/22/2019,"13,507"
03/23/2019,"15,887"
03/24/2019,"12,036"
03/25/2019,"3,372"
03/26/2019,"21,708"
03/27/2019,"8,077"
03/28/2019,"16,731"
03/29/2019,"13,947"
03/30/2019,"12,241"
03/31/2019,"21,564"
04/01/2019,"9,196"
04/02/2019,"14,397"
04/03/2019,"19,368"
04/04/2019,"3,521"
04/05/2019,"9,596"
04/06/2019,"15,647"
04/07/2019,"18,511"
04/08/2019,"16,804"
04/09/2019,"11,597"
04/10/2019,"19,789"
04/11/2019,"11,131"
04/12/2019,"13,729"
04/13/2019,"15,902"
04/14/2019,"14,934"
04/15/2019,"15,957"
04/16/2019,"16,986"
04/17/2019,"15,801"
04/18/2019,"14,922"
04/19/2019,"13,611"
04/20/2019,"12,442"
04/21/2019,"13,125"
04/22/2019,"13,721"
04/23/2019,"8,449"
04/24/2019,"11,422"
04/25/2019,"12,241"
04/26/2019,"12,612"
04/27/2019,"12,618"
04/28/2019,"11,765"
04/29/2019,"9,971"
04/30/2019,"9,014"
05/01/2019,"6,207"
05/02/2019,"6,738"
05/03/2019,"1,328"
05/04/2019,"8,142"
05/05/2019,"5,989"
05/06/2019,"7,460"
05/07/2019,"6,792"
05/08/2019,"7,509"
05/09/2019,"6,532"
05/10/2019,"3,864"
05/11/2019,"6,490"
05/12/2019,"4,289"
05/13/2019,"4,460"
05/14/2019,"3,622"
05/15/2019,"3,495"
05/16/2019,"4,001"
05/17/2019,"3,350"
05/18/2019,"3,113"
05/19/2019,"3,432"
05/20/2019,"4,870"
05/21/2019,"2,878"
05/22/2019,"2,737"
05/23/2019,"2,667"
05/24/2019,"3,520"
05/25/2019,"1,886"
05/26/2019,"1,721"
05/27/2019,"2,594"
05/28/2019,"1,843"
05/29/2019,"2,122"
05/30/2019,"1,611"
05/31/2019,"1,495"
06/01/2019,"2,024"
06/02/2019,"2,818"
06/03/2019,"2,514"
06/04/2019,"4,636"
06/05/2019,"3,372"
06/06/2019,"1,286"
06/07/2019,"3,698"
06/08/2019,"3,021"
06/09/2019,"1,437"
06/10/2019,"3,303"
06/11/2019,"1,139"
06/12/2019,"2,987"
06/13/2019,"2,070"
06/14/2019,"3,644"
06/15/2019,"2,229"
06/16/2019,"1,897"
06/17/2019,"3,022"
06/18/2019,"3,946"
06/19/2019,"1,083"
06/20/2019,"2,591"
06/21/2019,"1,174"
06/22/2019,"3,276"
06/23/2019,"3,762"
06/24/2019,"3,224"
06/25/2019,"3,530"
06/26/2019,"1,867"
06/27/2019,"2,094"
06/28/2019,"1,749"
06/29/2019,"1,156"
06/30/2019,"2,442"
07/01/2019,"1,584"
07/02/2019,"2,665"
07/03/2019,"4,601"
07/04/2019,"3,409"
07/05/2019,"2,596"
07/06/2019,"2,900"
07/07/2019,"1,646"
07/08/2019,"3,319"
07/09/2019,"1,930"
07/10/2019,"1,413"
07/11/2019,"1,485"
07/12/2019,"2,407"
07/13/2019,"1,743"
07/14/2019,"1,835"
07/15/2019,"1,741"
07/16/2019,"1,756"
07/17/2019,"1,814"
07/18/2019,"1,910"
07/19/2019,"1,988"
07/20/2019,"2,083"
07/21/2019,"2,169"
07/22/2019,"3,157"
07/23/2019,"2,502"
07/24/2019,"2,814"
07/25/2019,"2,585"
07/26/2019,"5,325"
07/27/2019,"3,155"
07/28/2019,"3,570"
07/29/2019,"3,669"
07/30/2019,"4,163"
07/31/2019,"4,367"
08/01/2019,"4,342"
08/02/2019,"5,116"
08/03/2019,"5,252"
08/04/2019,"5,978"
08/05/2019,"6,216"
08/06/2019,"6,724"
08/07/2019,"7,171"
08/08/2019,"6,072"
08/09/2019,"9,403"
08/10/2019,"10,442"
08/11/2019,"5,979"
08/12/2019,"10,444"
08/13/2019,"10,512"
08/14/2019,"10,900"
08/15/2019,"11,932"
08/16/2019,"12,560"
08/17/2019,"9,749"
08/18/2019,"11,637"
08/19/2019,"14,777"
08/20/2019,"14,900"
08/21/2019,"15,278"
08/22/2019,"5,792"
08/23/2019,"15,557"
08/24/2019,"16,235"
08/25/2019,"8,380"
08/26/2019,"3,710"
08/27/2019,"3,964"
08/28/2019,"12,253"
08/29/2019,"3,872"
08/30/2019,"6,441"
08/31/2019,"12,043"
09/01/2019,"18,250"
09/02/2019,"9,935"
09/03/2019,"18,566"
09/04/2019,"19,544"
09/05/2019,"15,220"
09/06/2019,"15,726"
09/07/2019,"21,196"
09/08/2019,"20,510"
09/09/2019,"13,784"
09/10/2019,"18,185"
09/11/2019,"19,837"
09/12/2019,"15,161"
09/13/2019,"17,023"
09/14/2019,"17,542"
09/15/2019,"19,176"
09/16/2019,"5,140"
09/17/2019,"2,230"
09/18/2019,"1,850"
09/19/2019,"13,907"
09/20/2019,"10,200"
09/21/2019,"13,230"
09/22/2019,"18,033"
09/23/2019,"16,659"
09/24/2019,"21,902"
09/25/2019,"12,779"
09/26/2019,"15,152"
09/27/2019,"20,433"
09/28/2019,"21,657"
09/29/2019,"18,703"
09/30/2019,"7,492"
10/01/2019,"19,177"
10/02/2019,"22,010"
10/03/2019,"21,330"
10/04/2019,"16,654"
10/05/2019,"8,899"
10/06/2019,"13,592"
10/07/2019,"13,722"
10/08/2019,"11,157"
10/09/2019,"21,677"
10/10/2019,"24,926"
10/11/2019,"11,074"
10/12/2019,"9,560"
10/13/2019,"20,922"
10/14/2019,"17,365"
10/15/2019,"23,463"
10/16/2019,"12,848"
10/17/2019,"25,593"
10/18/2019,"26,338"
10/19/2019,"21,963"
10/20/2019,"26,895"
10/21/2019,"25,900"
10/22/2019,"25,592"
10/23/2019,"24,617"
10/24/2019,"24,287"
10/25/2019,"18,237"
10/26/2019,"22,807"
10/27/2019,"26,417"
10/28/2019,"21,977"
10/29/2019,"25,214"
10/30/2019,"18,641"
10/31/2019,"24,198"
11/01/2019,"24,597"
11/02/2019,"20,869"
11/03/2019,"10,048"
11/04/2019,"20,216"
11/05/2019,"18,106"
11/06/2019,"26,992"
11/07/2019,"27,172"
11/08/2019,"26,586"
11/09/2019,"24,050"
11/10/2019,"21,275"
11/11/2019,"26,525"
11/12/2019,"22,428"
11/13/2019,"27,978"
11/14/2019,"26,927"
11/15/2019,"25,248"
11/16/2019,"10,719"
11/17/2019,"8,567"
11/18/2019,"24,257"
11/19/2019,"25,965"
11/20/2019,"18,356"
11/21/2019,"23,345"
11/22/2019,"16,070"
11/23/2019,"13,383"
11/24/2019,"10,264"
11/25/2019,"17,089"
11/26/2019,"18,417"
11/27/2019,"26,878"
11/28/2019,"25,717"
11/29/2019,"20,550"
11/30/2019,"14,399"
12/01/2019,"15,938"
12/02/2019,"18,985"
12/03/2019,"27,648"
12/04/2019,"27,261"
12/05/2019,"25,065"
12/06/2019,"18,316"
12/07/2019,"22,960"
12/08/2019,"22,491"
12/09/2019,"17,725"
12/10/2019,"18,239"
12/11/2019,"8,160"
12/12/2019,"9,759"
