Time,System Production (Wh)
01/08/2021,0
02/08/2021,0
03/08/2021,0
04/08/2021,0
05/08/2021,0
06/08/2021,0
07/08/2021,0
08/08/2021,0
09/08/2021,0
10/08/2021,0
11/08/2021,0
12/08/2021,0
13/08/2021,0
14/08/2021,0
15/08/2021,0
16/08/2021,741
17/08/2021,51270
18/08/2021,47911
19/08/2021,49698
20/08/2021,49464
21/08/2021,41490
22/08/2021,50755
23/08/2021,30480
24/08/2021,7456
25/08/2021,29329
26/08/2021,42434
27/08/2021,35516
28/08/2021,32210
29/08/2021,19825
30/08/2021,51286
31/08/2021,54440
01/09/2021,52987
02/09/2021,28736
03/09/2021,54178
04/09/2021,13706
05/09/2021,53259
06/09/2021,59348
07/09/2021,60519
08/09/2021,47409
09/09/2021,55677
10/09/2021,38973
11/09/2021,61141
12/09/2021,60195
13/09/2021,36023
14/09/2021,31491
15/09/2021,50679
16/09/2021,51880
17/09/2021,62922
18/09/2021,27020
19/09/2021,64212
20/09/2021,63656
21/09/2021,51389
22/09/2021,65620
23/09/2021,64532
24/09/2021,63367
25/09/2021,48773
26/09/2021,56853
27/09/2021,43744
28/09/2021,55546
29/09/2021,23665
30/09/2021,42548
01/10/2021,34656
02/10/2021,49303
03/10/2021,50738
04/10/2021,63367
05/10/2021,72490
06/10/2021,71195
07/10/2021,64455
08/10/2021,60846
09/10/2021,65696
10/10/2021,29421
11/10/2021,14303
12/10/2021,17235
13/10/2021,19697
14/10/2021,40510
15/10/2021,51237
16/10/2021,69184
17/10/2021,74506
18/10/2021,72437
19/10/2021,43663
20/10/2021,60512
21/10/2021,68525
22/10/2021,60229
23/10/2021,70402
24/10/2021,64344
25/10/2021,74134
26/10/2021,72556
27/10/2021,72467
28/10/2021,58295
29/10/2021,64264
30/10/2021,58736
31/10/2021,64939
01/11/2021,55419
02/11/2021,77710
03/11/2021,64456
04/11/2021,26564
05/11/2021,27806
06/11/2021,73263
07/11/2021,20580
08/11/2021,28702
09/11/2021,51331
10/11/2021,9509
11/11/2021,12560
12/11/2021,23904
13/11/2021,43416
14/11/2021,69130
15/11/2021,79842
16/11/2021,81522
17/11/2021,69380
18/11/2021,73487
19/11/2021,26094
20/11/2021,14382
21/11/2021,14854
22/11/2021,51993
23/11/2021,49752
24/11/2021,45877
25/11/2021,35720
26/11/2021,17320
27/11/2021,32689
28/11/2021,37384
29/11/2021,56947
30/11/2021,37193
01/12/2021,42065
02/12/2021,77672
03/12/2021,50789
04/12/2021,23687
05/12/2021,17193
06/12/2021,28302
07/12/2021,63714
08/12/2021,16762
09/12/2021,51699
10/12/2021,34945
11/12/2021,58259
12/12/2021,68221
13/12/2021,81901
14/12/2021,77957
15/12/2021,73320
16/12/2021,18912
17/12/2021,54460
18/12/2021,69334
19/12/2021,42505
20/12/2021,64380
21/12/2021,81391
22/12/2021,23999
23/12/2021,24773
24/12/2021,56807
25/12/2021,67509
26/12/2021,23780
27/12/2021,43786
28/12/2021,66849
29/12/2021,74408
30/12/2021,83207
31/12/2021,84242
01/01/2022,69185
02/01/2022,78769
03/01/2022,78206
04/01/2022,66209
05/01/2022,23760
06/01/2022,57121
07/01/2022,16444
08/01/2022,59481
09/01/2022,21168
10/01/2022,49157
11/01/2022,38824
12/01/2022,29250
13/01/2022,39146
14/01/2022,54287
