Date,irradiance (MJ/m^2),temperature (Celcius),pressure (hPa),rainfall (mm)
01/01/2023,17.7,24.75,20.36,3.0
02/01/2023,27.71,26.3,17.8,1.7
03/01/2023,29.11,27.22,18.89,0.7
04/01/2023,7.21,21.11,19.5,2.9
05/01/2023,16.65,19.67,13.61,12.0
06/01/2023,6.51,17.48,15.13,7.0
07/01/2023,15.94,20.85,15.3,26.9
08/01/2023,29.19,23.02,12.33,1.6
09/01/2023,31.5,26.0,14.86,0.0
10/01/2023,26.28,24.46,16.44,0.0
11/01/2023,13.5,23.99,16.3,0.0
12/01/2023,19.97,25.43,17.65,0.0
13/01/2023,22.04,26.02,17.67,0.0
14/01/2023,22.71,25.2,19.32,0.2
15/01/2023,27.2,28.38,17.38,0.2
16/01/2023,24.4,25.58,18.86,4.4
17/01/2023,25.78,26.38,18.9,0.0
18/01/2023,22.38,28.76,18.51,0.0
19/01/2023,7.45,18.09,16.23,35.8
20/01/2023,15.64,20.03,15.12,2.1
21/01/2023,26.73,23.21,14.95,1.4
22/01/2023,7.08,19.16,18.15,8.0
23/01/2023,15.45,23.08,17.19,28.4
24/01/2023,24.69,26.51,17.43,2.7
25/01/2023,27.9,26.19,19.26,21.8
26/01/2023,24.26,30.59,21.36,0.1
27/01/2023,16.8,24.6,19.94,13.5
28/01/2023,26.27,28.88,23.49,0.7
29/01/2023,15.21,28.55,25.81,0.1
30/01/2023,6.97,26.24,22.71,0.8
31/01/2023,19.06,25.09,18.02,41.0
01/02/2023,27.42,25.75,17.13,0.0
02/02/2023,27.02,28.6,19.7,0.0
03/02/2023,27.1,25.68,9.78,0.0
04/02/2023,28.94,24.81,7.85,0.0
05/02/2023,28.8,25.99,11.19,0.0
06/02/2023,24.64,26.6,18.79,0.0
07/02/2023,12.76,25.35,21.02,0.4
08/02/2023,6.26,22.72,19.87,8.8
09/02/2023,9.77,21.58,21.24,34.2
10/02/2023,24.67,27.57,19.47,78.0
11/02/2023,26.31,31.24,20.04,1.7
12/02/2023,21.06,24.92,15.98,0.0
13/02/2023,17.6,21.51,16.2,5.4
14/02/2023,10.75,19.71,15.56,0.5
15/02/2023,24.1,25.02,18.18,1.4
16/02/2023,26.91,27.57,16.64,0.0
17/02/2023,27.0,28.02,19.55,0.0
18/02/2023,24.61,30.57,20.45,0.0
19/02/2023,20.02,25.28,17.8,15.5
20/02/2023,25.65,28.47,22.82,0.5
21/02/2023,19.86,27.25,22.79,0.0
22/02/2023,6.96,19.74,16.09,25.1
23/02/2023,11.39,21.53,15.24,2.2
24/02/2023,21.49,23.84,16.7,1.5
25/02/2023,23.43,25.21,16.53,1.5
26/02/2023,21.4,29.06,17.63,0.0
27/02/2023,16.77,23.96,19.23,0.5
28/02/2023,11.95,24.9,19.45,0.0
01/03/2023,22.09,25.94,19.6,0.1
02/03/2023,20.92,25.12,19.43,1.2
03/03/2023,12.11,23.17,20.32,0.0
04/03/2023,15.46,23.89,20.08,5.4
05/03/2023,24.04,27.57,18.1,0.2
06/03/2023,22.11,36.04,19.2,0.8
07/03/2023,23.45,31.43,12.95,0.0
08/03/2023,22.8,28.65,10.28,0.0
09/03/2023,23.3,25.12,10.57,0.0
10/03/2023,18.76,25.34,15.0,0.0
11/03/2023,21.14,28.77,18.41,0.0
12/03/2023,12.42,25.0,18.82,0.0
13/03/2023,10.44,21.96,18.28,37.5
14/03/2023,8.08,21.96,19.62,10.3
15/03/2023,21.67,26.69,20.39,24.1
16/03/2023,21.97,34.15,19.12,0.1
17/03/2023,14.92,28.8,13.67,0.1
18/03/2023,21.35,28.79,21.74,0.1
19/03/2023,21.32,32.45,21.25,0.0
20/03/2023,7.42,20.22,20.57,0.2
21/03/2023,10.13,20.03,14.63,8.2
22/03/2023,8.49,22.07,16.57,0.3
23/03/2023,5.78,22.09,19.8,0.9
24/03/2023,14.97,23.69,18.39,10.7
25/03/2023,2.87,21.63,18.25,4.5
26/03/2023,10.17,22.91,17.45,5.3
27/03/2023,9.18,24.43,20.33,11.9
28/03/2023,7.72,24.57,17.8,0.1
29/03/2023,10.31,25.06,19.6,3.2
30/03/2023,17.46,22.15,11.26,11.2
31/03/2023,16.58,22.76,9.89,0.0
01/04/2023,8.33,17.68,12.24,0.7
02/04/2023,12.05,18.87,15.73,24.0
03/04/2023,14.63,21.79,17.49,3.0
04/04/2023,17.2,23.15,16.92,2.9
05/04/2023,16.65,22.68,15.6,0.2
06/04/2023,12.92,21.3,17.02,0.0
07/04/2023,11.06,22.15,15.51,0.3
08/04/2023,17.17,21.09,11.56,13.7
09/04/2023,17.4,18.4,7.56,0.0
10/04/2023,14.82,18.37,7.48,0.0
11/04/2023,14.44,20.11,9.12,2.3
12/04/2023,11.12,20.14,12.82,0.0
13/04/2023,12.33,20.42,14.4,2.2
14/04/2023,10.41,19.49,15.84,24.2
15/04/2023,16.43,23.01,14.34,1.7
16/04/2023,11.03,22.3,15.56,0.2
17/04/2023,13.84,20.16,11.3,0.0
18/04/2023,11.76,20.71,14.25,0.0
19/04/2023,15.04,23.07,13.98,0.0
20/04/2023,6.27,17.04,14.55,10.3
21/04/2023,13.15,19.6,12.8,1.3
22/04/2023,14.24,20.77,13.6,0.2
23/04/2023,8.83,20.94,16.07,0.0
24/04/2023,9.19,20.71,15.57,7.1
25/04/2023,13.83,22.39,16.37,1.0
26/04/2023,11.49,21.22,15.68,0.2
27/04/2023,14.34,22.58,15.17,0.0
28/04/2023,14.14,24.91,14.83,0.1
29/04/2023,3.47,15.97,16.95,3.4
30/04/2023,9.35,16.79,13.4,39.7
01/05/2023,12.59,18.37,10.97,1.1
02/05/2023,13.25,19.81,10.74,0.0
