date,au.nem.nsw1.demand.energy (GWh),au.nem.nsw1.demand.market_value (AUD),au.nem.nsw1.fuel_tech.coal_black.emissions (tCO2e),au.nem.nsw1.fuel_tech.coal_black.energy (GWh),au.nem.nsw1.fuel_tech.coal_black.market_value (AUD),au.nem.nsw1.fuel_tech.distillate.emissions (tCO2e),au.nem.nsw1.fuel_tech.distillate.energy (GWh),au.nem.nsw1.fuel_tech.distillate.market_value (AUD),au.nem.nsw1.fuel_tech.exports.emissions (tCO2e),au.nem.nsw1.fuel_tech.exports.emissions_factor (tCO2e/MWh),au.nem.nsw1.fuel_tech.exports.energy (GWh),au.nem.nsw1.fuel_tech.gas_ccgt.emissions (tCO2e),au.nem.nsw1.fuel_tech.gas_ccgt.energy (GWh),au.nem.nsw1.fuel_tech.gas_ccgt.market_value (AUD),au.nem.nsw1.fuel_tech.gas_ocgt.emissions (tCO2e),au.nem.nsw1.fuel_tech.gas_ocgt.energy (GWh),au.nem.nsw1.fuel_tech.gas_ocgt.market_value (AUD),au.nem.nsw1.fuel_tech.hydro.energy (GWh),au.nem.nsw1.fuel_tech.hydro.market_value (AUD),au.nem.nsw1.fuel_tech.imports.emissions (tCO2e),au.nem.nsw1.fuel_tech.imports.emissions_factor (tCO2e/MWh),au.nem.nsw1.fuel_tech.imports.energy (GWh),au.nem.nsw1.fuel_tech.pumps.energy (GWh),au.nem.nsw1.fuel_tech.pumps.market_value (AUD),au.nem.nsw1.fuel_tech.solar_rooftop.energy (GWh),au.nem.nsw1.fuel_tech.solar_rooftop.market_value (AUD),au.nem.nsw1.fuel_tech.solar_utility.energy (GWh),au.nem.nsw1.fuel_tech.solar_utility.market_value (AUD),au.nem.nsw1.fuel_tech.wind.energy (GWh),au.nem.nsw1.fuel_tech.wind.market_value (AUD),au.nem.nsw1.temperature_max (C),au.nem.nsw1.temperature_mean (C),au.nem.nsw1.temperature_min (C),au.nem.nsw1.fuel_tech.battery_charging.energy (GWh),au.nem.nsw1.fuel_tech.battery_charging.market_value (AUD),au.nem.nsw1.fuel_tech.battery_discharging.energy (GWh),au.nem.nsw1.fuel_tech.battery_discharging.market_value (AUD),au.nem.nsw1.fuel_tech.bioenergy_biogas.emissions (tCO2e),au.nem.nsw1.fuel_tech.bioenergy_biogas.energy (GWh),au.nem.nsw1.fuel_tech.bioenergy_biogas.market_value (AUD),Normalized Rooftop Solar (GWh),Normalized Utility Solar (GWh)
01/01/2019,206.8,16853924,158996,172.1,13683734,0,0,0,382.5,0.863,0.4432,1190,2.657,263446,0,0,0,2.78,242184,17557,0.8966,19.58,6.327,379335,10.37,862319,5.089,410359,5.171,399786,31.4,26.55,21.7,0,0,0,0,0,0,0,0.900168610174388,0.4417510180499
02/01/2019,214.7,20349756,164134,177.7,16372073,0,0,0,271.5,0.8442,0.3215,1295,2.892,305575,0,0,0,1.872,174622,17822,0.8824,20.2,2.829,172023,9.131,984044,4.959,532045,7.516,647088,29.7,25.4,21.1,0,0,0,0,0,0,0,0.792617124349309,0.43046635852023
03/01/2019,210.8,20346239,169614,183.8,17030539,0,0,0,3810,0.839,4.541,1925,4.3,457619,1403,1.938,219280,1.93,182393,11070,0.8738,12.67,2.669,178640,9.085,997212,4.803,489999,6.068,513940,28.5,24.75,21,0,0,0,0,0,0,0,0.788624090977272,0.416924767084627
04/01/2019,224.8,24711817,165666,179.4,18763741,0,0,0,1687,0.802,2.103,1622,3.506,496327,2161,2.984,378656,5.121,631422,19471,0.8564,22.74,1.9,95202,10.37,1633716,5.071,655982,8.158,739552,31.4,25.95,20.5,0,0,0,0,0,0,0,0.900168610174388,0.440188526730407
05/01/2019,209.8,20028393,151333,163.9,15020060,0.3137,0.0004444,40.93,979.2,0.8489,1.154,3.051,0.005192,470.1,4077,5.629,568132,1.676,152896,20198,0.8933,22.61,1.42,108612,8.175,912278,3.337,348688,13.87,1244209,37.4,29.7,22,0,0,0,0,0,0,0,0.709631474269588,0.28966852961928
06/01/2019,175,11330309,138069,149.3,9540300,0.3689,0.0005225,33.01,2870,0.8029,3.575,1.749,0.002975,190.4,0,0,0,1.653,105357,11308,0.9524,11.87,6.542,413400,5.409,329194,5.39,336974,10.43,671785,22.1,20,17.9,0,0,0,0,0,0,0,0.469528641507547,0.467879345114749
07/01/2019,191,13543331,159491,172.5,12197394,0.2618,0.0003708,24.86,5467,0.8194,6.672,1.89,0.003215,223.9,0,0,0,1.427,100147,4111,0.8902,4.618,2.858,171952,4.895,365672,4.299,319067,14.93,1023380,23.7,20.95,18.2,0,0,0,0,0,0,0,0.424910833828701,0.373175010138833
08/01/2019,208.1,19443483,173269,187.6,16946349,0.2339,0.0003312,28.7,4564,0.8449,5.402,1327,2.964,298523,148.4,0.1897,15196,2.635,268901,6858,0.8804,7.79,1.256,86051,8.211,919196,2.625,263485,9.86,846964,29.3,25,20.7,0,0,0,0,0,0,0,0.712756456908573,0.227863317426014
09/01/2019,207.9,18588590,176155,190.8,16819686,0.237,0.0003356,27.75,2917,0.8679,3.362,2.994,0.005094,437.5,0,0,0,2.595,264588,7783,0.913,8.525,1.546,100662,8.559,856561,2.891,293043,6.61,550035,30,25.25,20.5,0,0,0,0,0,0,0,0.742964622418764,0.250953466925184
10/01/2019,197.6,16087710,171925,186.1,14774222,0.2946,0.0004173,32.25,5237,0.8392,6.24,2.174,0.0037,288.7,0,0,0,1.472,123532,2594,0.9542,2.718,1.763,108228,5.733,560488,4.594,423121,9.069,675919,22.4,21.5,20.6,0,0,0,0,0,0,0,0.497653485258415,0.398782506763851
11/01/2019,202.7,16927515,166590,180.4,14882457,0.2353,0.0003333,23.29,5827,0.8278,7.04,587.3,1.311,111144,0,0,0,2.083,192443,7445,0.866,8.597,1.709,92819,7.276,800955,4.659,456415,12.85,914560,27.7,23.9,20.1,0,0,0,0,0,0,0,0.631593713368259,0.404424836528686
12/01/2019,206.2,18929523,152973,165.7,14540896,0.01423,0.00002015,1.305,2764,0.8146,3.393,1998,4.463,502545,1349,1.862,229513,4.669,545302,15331,0.8575,17.88,1.923,108844,10.41,1112304,5.266,517394,9.952,725511,29.6,25.1,20.6,0,0,0,0,0,0,0,0.903640813106594,0.457115516024911
13/01/2019,195.6,13417410,146712,159,10882424,0.2034,0.0002881,17.04,2349,0.8114,2.895,1.983,0.003374,222.4,0,0,0,1.538,121178,14900,0.8669,17.19,7.628,411887,8.64,541312,5.199,325400,15.9,1091817,27.7,24.5,21.3,0,0,0,0,0,0,0,0.749995833356481,0.451299576113466
14/01/2019,223.5,34749008,167433,181.6,27441536,55.49,0.0786,17037,3334,0.8121,4.106,2541,5.549,1078958,2709,3.74,810375,1.841,339889,16999,0.8302,20.48,1.991,142437,10.14,2000922,5.076,982592,9.323,1126779,29,25.2,21.4,0,0,0,0,0,0,0,0.880203443314204,0.440622552096933
15/01/2019,243.4,48728194,174261,188.7,34457430,0.02411,0.00003415,4.064,2860,0.8436,3.39,3368,7.207,1617303,4309,5.949,1681061,7.387,1951441,20604,0.825,24.98,1.038,77515,10.41,2744046,4.421,1102031,8.244,1692708,29.7,25.9,22.1,0,0,0,0,0,0,0,0.903640813106594,0.383765229082061
16/01/2019,252.4,46581034,184353,200,36490644,0.05637,0.00007984,14.49,3208,0.8363,3.835,3446,7.426,1579891,6060,8.175,1948006,7.365,1749723,20192,0.8247,24.48,2.716,316480,10.11,2481829,4.663,1122438,4.355,699466,30.7,26.25,21.8,0,0,0,0,0,0,0,0.877599291115049,0.404772056821907
17/01/2019,253.9,43937206,184243,199.9,33116484,0.01864,0.0000264,3.151,2045,0.8484,2.411,1536,3.22,606801,4125,5.606,1382351,6.807,1573728,23847,0.8271,28.83,1.465,155435,10.49,2082541,4.689,932785,7.392,1091013,29.5,25.95,22.4,0,0,0,0,0,0,0,0.910585218971006,0.40702898872784
18/01/2019,256.6,36134758,187705,203.5,27799471,11.3,0.01601,2007,1794,0.8431,2.127,446.4,0.7595,130251,2999,4.141,704654,10.4,1709768,23746,0.8655,27.44,2.411,285918,10.33,1693128,3.767,598898,8.631,1187648,31.7,27.15,22.6,0,0,0,0,0,0,0,0.896696407242182,0.326994711140494
19/01/2019,209.5,17027919,168325,182.3,14432015,0.1135,0.0001607,13.28,1308,0.8264,1.583,3.195,0.005436,427.3,0,0,0,1.503,118707,14628,0.9145,16,3.932,290328,6.663,582545,4.35,372139,6.996,535036,26.2,24.75,23.3,0,0,0,0,0,0,0,0.578382203432203,0.377602068877395
20/01/2019,199.6,14530197,164383,178,12713557,0.1445,0.0002046,11.78,2616,0.8394,3.117,2.381,0.00405,265.1,0,0,0,1.497,103756,9894,0.9325,10.61,10.92,669187,6.058,488868,3.811,299250,8.925,595179,26.8,23.75,20.7,0,0,0,0,0,0,0,0.525865134082588,0.33081413436592
21/01/2019,217.5,23871882,182487,197.8,21119912,0.1246,0.0001765,16.91,4799,0.8537,5.621,2.198,0.003739,386.5,0,0,0,1.283,133105,10019,0.8246,12.15,2.402,178608,6.337,785466,4.515,569093,7.615,744462,26.7,24.1,21.5,0,0,0,0,0,0,0,0.550083749534725,0.391924905972745
22/01/2019,237.3,37044193,186096,201.8,29822195,0.01364,0.00001932,1.686,1645,0.8517,1.932,372.3,0.6334,143418,3025,4.177,973935,4.314,796957,14658,0.8117,18.06,1.725,148144,9.668,1807970,4.778,906685,5.628,798787,29.6,25.65,21.7,0,0,0,0,0,0,0,0.839231448714174,0.414754640251999
23/01/2019,227.4,28571536,184862,200.4,24468071,0.04139,0.00005863,6.417,2467,0.8382,2.943,294.1,0.546,97615,913.2,1.261,153473,2,193406,10765,0.8108,13.28,1.592,156227,8.59,1490737,4.314,688513,8.848,977197,29.4,25.55,21.7,0,0,0,0,0,0,0,0.745655579691224,0.37447708623841
24/01/2019,219.7,23485121,180139,195.7,19764686,0.01538,0.00002178,1.728,4712,0.8377,5.625,390.1,0.7197,77741,2352,3.103,373715,3.151,345952,6564,0.8096,8.108,1.5,126726,7.546,932116,4.92,548135,8.137,754532,27.8,24.7,21.6,0,0,0,0,0,0,0,0.655031083160649,0.42708096066133
