date,au.nem.nsw1.demand.energy (GWh),au.nem.nsw1.demand.market_value (AUD),au.nem.nsw1.fuel_tech.coal_black.emissions (tCO2e),au.nem.nsw1.fuel_tech.coal_black.energy (GWh),au.nem.nsw1.fuel_tech.coal_black.market_value (AUD),au.nem.nsw1.fuel_tech.distillate.emissions (tCO2e),au.nem.nsw1.fuel_tech.distillate.energy (GWh),au.nem.nsw1.fuel_tech.distillate.market_value (AUD),au.nem.nsw1.fuel_tech.exports.emissions (tCO2e),au.nem.nsw1.fuel_tech.exports.emissions_factor (tCO2e/MWh),au.nem.nsw1.fuel_tech.exports.energy (GWh),au.nem.nsw1.fuel_tech.gas_ccgt.emissions (tCO2e),au.nem.nsw1.fuel_tech.gas_ccgt.energy (GWh),au.nem.nsw1.fuel_tech.gas_ccgt.market_value (AUD),au.nem.nsw1.fuel_tech.gas_ocgt.emissions (tCO2e),au.nem.nsw1.fuel_tech.gas_ocgt.energy (GWh),au.nem.nsw1.fuel_tech.gas_ocgt.market_value (AUD),au.nem.nsw1.fuel_tech.hydro.energy (GWh),au.nem.nsw1.fuel_tech.hydro.market_value (AUD),au.nem.nsw1.fuel_tech.imports.emissions (tCO2e),au.nem.nsw1.fuel_tech.imports.emissions_factor (tCO2e/MWh),au.nem.nsw1.fuel_tech.imports.energy (GWh),au.nem.nsw1.fuel_tech.pumps.energy (GWh),au.nem.nsw1.fuel_tech.pumps.market_value (AUD),au.nem.nsw1.fuel_tech.solar_rooftop.energy (GWh),au.nem.nsw1.fuel_tech.solar_rooftop.market_value (AUD),au.nem.nsw1.fuel_tech.solar_utility.energy (GWh),au.nem.nsw1.fuel_tech.solar_utility.market_value (AUD),au.nem.nsw1.fuel_tech.wind.energy (GWh),au.nem.nsw1.fuel_tech.wind.market_value (AUD),au.nem.nsw1.temperature_max (C),au.nem.nsw1.temperature_mean (C),au.nem.nsw1.temperature_min (C)
01/01/2016,165.8,6354714.0,109127.0,118.8,4487400.0,3.34,0.004731,177.8,0.0,0.0,0.0,1362.0,2.44,91553.0,1699.0,2.345,90015.0,7.351,282094.0,32850.0,1.027,31.99,0.0,0.0,5.169,202932.0,0.6024,23185.0,2.254,85840.0,25.6,21.94,17.9
02/01/2016,164.4,6133851.0,101602.0,110.3,4067160.0,3.313,0.004692,170.3,0.7577,0.79,0.000959,1134.0,1.93,70105.0,2309.0,3.188,128732.0,5.96,231643.0,39643.0,1.019,38.9,0.0,0.0,3.807,153536.0,0.559,22098.0,3.561,140268.0,25.0,21.58,18.1
03/01/2016,162.6,5272343.0,96268.0,104.5,3373337.0,3.273,0.004635,146.5,0.0,0.0,0.0,1134.0,1.929,60900.0,3320.0,4.584,161897.0,4.701,161336.0,40616.0,1.043,38.95,0.0,0.0,2.312,81207.0,0.7846,27393.0,7.118,233720.0,24.7,22.01,20.2
04/01/2016,180.6,6095297.0,112843.0,122.7,4123243.0,3.254,0.00461,152.1,1899.0,0.7902,2.404,4090.0,8.148,282271.0,4538.0,6.266,231367.0,7.675,268202.0,34000.0,1.074,31.66,0.6892,18911.0,2.157,82400.0,0.7844,29444.0,5.822,189851.0,23.2,21.49,18.8
05/01/2016,182.6,6157331.0,127333.0,138.7,4721388.0,3.116,0.004414,146.6,2622.0,0.7933,3.305,1854.0,3.154,108313.0,2885.0,3.983,144466.0,9.842,345483.0,22953.0,1.111,20.66,0.0,0.0,1.546,56340.0,1.016,36805.0,8.59,283584.0,21.2,19.74,18.0
06/01/2016,181.3,6577208.0,132341.0,144.4,5216196.0,3.134,0.00444,159.2,2579.0,0.7826,3.296,1855.0,3.156,114234.0,0.0,0.0,0.0,12.16,443768.0,19496.0,1.114,17.5,0.0,0.0,1.899,70505.0,1.114,40986.0,6.367,229788.0,20.1,18.57,17.2
07/01/2016,177.3,6510649.0,137029.0,149.7,5468455.0,3.101,0.004392,159.0,4555.0,0.8008,5.687,1855.0,3.156,115719.0,615.1,0.8492,31443.0,12.45,461008.0,13386.0,1.116,11.99,0.0,0.0,4.245,162370.0,1.319,49323.0,3.681,132321.0,23.7,18.25,16.6
08/01/2016,178.7,6834665.0,140754.0,153.8,5824174.0,3.086,0.004371,164.8,3169.0,0.8087,3.919,1856.0,3.158,120251.0,1876.0,2.59,99992.0,12.8,487753.0,8708.0,1.12,7.773,0.0,0.0,5.337,212053.0,1.314,51595.0,1.403,51595.0,25.0,19.82,15.6
09/01/2016,172.6,7235559.0,145530.0,159.0,6528318.0,3.073,0.004352,176.0,3634.0,0.826,4.399,1135.0,1.931,78570.0,0.0,0.0,0.0,10.05,417409.0,3546.0,1.107,3.204,0.0,0.0,4.451,200058.0,1.285,55169.0,1.508,60755.0,24.8,21.46,18.6
10/01/2016,177.0,8089365.0,134424.0,146.8,6657361.0,2.984,0.004227,180.9,784.0,0.8186,0.9577,1890.0,3.617,160389.0,1092.0,1.508,97631.0,10.16,477601.0,13290.0,1.023,13.0,0.0,0.0,5.205,261777.0,1.247,60849.0,1.672,73442.0,26.8,22.24,18.7
