date,au.nem.nsw1.demand.energy (GWh),au.nem.nsw1.demand.market_value (AUD),au.nem.nsw1.fuel_tech.coal_black.emissions (tCO2e),au.nem.nsw1.fuel_tech.coal_black.energy (GWh),au.nem.nsw1.fuel_tech.coal_black.market_value (AUD),au.nem.nsw1.fuel_tech.distillate.emissions (tCO2e),au.nem.nsw1.fuel_tech.distillate.energy (GWh),au.nem.nsw1.fuel_tech.distillate.market_value (AUD),au.nem.nsw1.fuel_tech.exports.emissions (tCO2e),au.nem.nsw1.fuel_tech.exports.emissions_factor (tCO2e/MWh),au.nem.nsw1.fuel_tech.exports.energy (GWh),au.nem.nsw1.fuel_tech.gas_ccgt.emissions (tCO2e),au.nem.nsw1.fuel_tech.gas_ccgt.energy (GWh),au.nem.nsw1.fuel_tech.gas_ccgt.market_value (AUD),au.nem.nsw1.fuel_tech.gas_ocgt.emissions (tCO2e),au.nem.nsw1.fuel_tech.gas_ocgt.energy (GWh),au.nem.nsw1.fuel_tech.gas_ocgt.market_value (AUD),au.nem.nsw1.fuel_tech.hydro.energy (GWh),au.nem.nsw1.fuel_tech.hydro.market_value (AUD),au.nem.nsw1.fuel_tech.imports.emissions (tCO2e),au.nem.nsw1.fuel_tech.imports.emissions_factor (tCO2e/MWh),au.nem.nsw1.fuel_tech.imports.energy (GWh),au.nem.nsw1.fuel_tech.pumps.energy (GWh),au.nem.nsw1.fuel_tech.pumps.market_value (AUD),au.nem.nsw1.fuel_tech.solar_rooftop.energy (GWh),au.nem.nsw1.fuel_tech.solar_rooftop.market_value (AUD),au.nem.nsw1.fuel_tech.solar_utility.energy (GWh),au.nem.nsw1.fuel_tech.solar_utility.market_value (AUD),au.nem.nsw1.fuel_tech.wind.energy (GWh),au.nem.nsw1.fuel_tech.wind.market_value (AUD),au.nem.nsw1.temperature_max (C),au.nem.nsw1.temperature_mean (C),au.nem.nsw1.temperature_min (C)
01/01/2016,165.8,6354714,109127,118.8,4487400,3.34,0.004731,177.8,0,0,0,1362,2.44,91553,1699,2.345,90015,7.351,282094,32850,1.027,31.99,0,0,5.169,202932,0.6024,23185,2.254,85840,25.6,21.94,17.9
02/01/2016,164.4,6133851,101602,110.3,4067160,3.313,0.004692,170.3,0.7577,0.79,0.000959,1134,1.93,70105,2309,3.188,128732,5.96,231643,39643,1.019,38.9,0,0,3.807,153536,0.559,22098,3.561,140268,25,21.58,18.1
03/01/2016,162.6,5272343,96268,104.5,3373337,3.273,0.004635,146.5,0,0,0,1134,1.929,60900,3320,4.584,161897,4.701,161336,40616,1.043,38.95,0,0,2.312,81207,0.7846,27393,7.118,233720,24.7,22.01,20.2
04/01/2016,180.6,6095297,112843,122.7,4123243,3.254,0.00461,152.1,1899,0.7902,2.404,4090,8.148,282271,4538,6.266,231367,7.675,268202,34000,1.074,31.66,0.6892,18911,2.157,82400,0.7844,29444,5.822,189851,23.2,21.49,18.8
05/01/2016,182.6,6157331,127333,138.7,4721388,3.116,0.004414,146.6,2622,0.7933,3.305,1854,3.154,108313,2885,3.983,144466,9.842,345483,22953,1.111,20.66,0,0,1.546,56340,1.016,36805,8.59,283584,21.2,19.74,18
06/01/2016,181.3,6577208,132341,144.4,5216196,3.134,0.00444,159.2,2579,0.7826,3.296,1855,3.156,114234,0,0,0,12.16,443768,19496,1.114,17.5,0,0,1.899,70505,1.114,40986,6.367,229788,20.1,18.57,17.2
07/01/2016,177.3,6510649,137029,149.7,5468455,3.101,0.004392,159,4555,0.8008,5.687,1855,3.156,115719,615.1,0.8492,31443,12.45,461008,13386,1.116,11.99,0,0,4.245,162370,1.319,49323,3.681,132321,23.7,18.25,16.6
08/01/2016,178.7,6834665,140754,153.8,5824174,3.086,0.004371,164.8,3169,0.8087,3.919,1856,3.158,120251,1876,2.59,99992,12.8,487753,8708,1.12,7.773,0,0,5.337,212053,1.314,51595,1.403,51595,25,19.82,15.6
09/01/2016,172.6,7235559,145530,159,6528318,3.073,0.004352,176,3634,0.826,4.399,1135,1.931,78570,0,0,0,10.05,417409,3546,1.107,3.204,0,0,4.451,200058,1.285,55169,1.508,60755,24.8,21.46,18.6
10/01/2016,177,8089365,134424,146.8,6657361,2.984,0.004227,180.9,784,0.8186,0.9577,1890,3.617,160389,1092,1.508,97631,10.16,477601,13290,1.023,13,0,0,5.205,261777,1.247,60849,1.672,73442,26.8,22.24,18.7
11/01/2016,219.4,20298939,139554,152.2,12914148,2.913,0.004127,322,154,0.7791,0.1977,5580,11.47,1015909,4241,5.856,767978,20.4,1983726,25214,0.9876,25.53,0,0,4.744,700474,1.1,145359,2.963,226668,29.4,23.86,20.7
12/01/2016,219.3,15462973,145193,157.9,10829708,2.766,0.003918,256,851.1,0.7743,1.099,4971,10.12,741747,4999,6.901,614684,18.47,1447082,22226,1.015,21.91,0.3132,12316,3.968,383761,0.8767,85504,4.306,271138,33.8,27.12,23.7
