date,au.nem.nsw1.demand.energy (GWh),au.nem.nsw1.demand.market_value (AUD),au.nem.nsw1.fuel_tech.battery_charging.energy (GWh),au.nem.nsw1.fuel_tech.battery_charging.market_value (AUD),au.nem.nsw1.fuel_tech.battery_discharging.energy (GWh),au.nem.nsw1.fuel_tech.battery_discharging.market_value (AUD),au.nem.nsw1.fuel_tech.bioenergy_biogas.emissions (tCO2e),au.nem.nsw1.fuel_tech.bioenergy_biogas.energy (GWh),au.nem.nsw1.fuel_tech.bioenergy_biogas.market_value (AUD),au.nem.nsw1.fuel_tech.coal_black.emissions (tCO2e),au.nem.nsw1.fuel_tech.coal_black.energy (GWh),au.nem.nsw1.fuel_tech.coal_black.market_value (AUD),au.nem.nsw1.fuel_tech.distillate.emissions (tCO2e),au.nem.nsw1.fuel_tech.distillate.energy (GWh),au.nem.nsw1.fuel_tech.distillate.market_value (AUD),au.nem.nsw1.fuel_tech.exports.emissions (tCO2e),au.nem.nsw1.fuel_tech.exports.emissions_factor (tCO2e/MWh),au.nem.nsw1.fuel_tech.exports.energy (GWh),au.nem.nsw1.fuel_tech.gas_ccgt.emissions (tCO2e),au.nem.nsw1.fuel_tech.gas_ccgt.energy (GWh),au.nem.nsw1.fuel_tech.gas_ccgt.market_value (AUD),au.nem.nsw1.fuel_tech.gas_ocgt.emissions (tCO2e),au.nem.nsw1.fuel_tech.gas_ocgt.energy (GWh),au.nem.nsw1.fuel_tech.gas_ocgt.market_value (AUD),au.nem.nsw1.fuel_tech.hydro.energy (GWh),au.nem.nsw1.fuel_tech.hydro.market_value (AUD),au.nem.nsw1.fuel_tech.imports.emissions (tCO2e),au.nem.nsw1.fuel_tech.imports.emissions_factor (tCO2e/MWh),au.nem.nsw1.fuel_tech.imports.energy (GWh),au.nem.nsw1.fuel_tech.pumps.energy (GWh),au.nem.nsw1.fuel_tech.pumps.market_value (AUD),au.nem.nsw1.fuel_tech.solar_rooftop.energy (GWh),au.nem.nsw1.fuel_tech.solar_rooftop.market_value (AUD),au.nem.nsw1.fuel_tech.solar_utility.energy (GWh),au.nem.nsw1.fuel_tech.solar_utility.market_value (AUD),au.nem.nsw1.fuel_tech.wind.energy (GWh),au.nem.nsw1.fuel_tech.wind.market_value (AUD),au.nem.nsw1.temperature_max (C),au.nem.nsw1.temperature_mean (C),au.nem.nsw1.temperature_min (C)
01/01/2023,157.6,11832651.0,0.09476,2427.0,0.05668,6100.0,0.0,0.0,0.0,86251.0,93.52,7440747.0,0.0,0.0,0.0,1370.0,0.4968,2.757,70.89,0.1206,19105.0,0.0,0.0,0.0,10.38,1013323.0,14375.0,0.7384,19.47,1.717,27250.0,23.54,977371.0,22.49,786587.0,14.3,1344843.0,27.3,22.98,20.1
02/01/2023,159.6,14558891.0,0.02774,1012.0,0.04003,5459.0,0.0,0.0,0.0,89422.0,97.0,9149324.0,0.0,0.0,0.0,1260.0,0.6112,2.062,1122.0,2.506,333918.0,0.0,0.0,0.0,9.913,1038764.0,18707.0,0.7261,25.77,0.9449,31813.0,27.62,1689606.0,15.72,943545.0,10.59,1017957.0,27.8,23.0,19.0
03/01/2023,178.9,13553141.0,0.02466,1608.0,0.0153,1493.0,0.0,0.0,0.0,91967.0,99.8,7896007.0,0.0,0.0,0.0,769.4,0.6419,1.199,3295.0,7.361,607121.0,0.0,0.0,0.0,11.33,1054959.0,21484.0,0.7467,28.77,1.027,27633.0,29.01,1268438.0,21.69,997345.0,11.02,967963.0,27.5,23.48,20.6
04/01/2023,179.5,15077946.0,0.03686,2364.0,0.02382,2505.0,0.0,0.0,0.0,91808.0,99.63,8730627.0,0.0,0.0,0.0,1798.0,0.6105,2.944,1152.0,2.573,232557.0,0.0,0.0,0.0,11.03,1082525.0,20676.0,0.7091,29.16,0.0,0.0,17.25,896860.0,21.47,1310704.0,18.37,1734527.0,25.3,21.55,18.1
05/01/2023,167.4,14369466.0,0.01591,1364.0,0.009387,825.3,0.0,0.0,0.0,83139.0,90.1,7836266.0,0.0,0.0,0.0,309.1,0.5591,0.5529,1.771,0.003013,253.9,0.0,0.0,0.0,9.551,860098.0,19412.0,0.7747,25.06,0.0,0.0,16.02,1238350.0,18.1,1370404.0,24.88,2147804.0,22.1,18.68,17.0
06/01/2023,168.2,11560706.0,0.031,1331.0,0.0139,1186.0,0.0,0.0,0.0,80748.0,87.48,6405904.0,0.0,0.0,0.0,1035.0,0.5294,1.955,1.787,0.003041,205.6,0.0,0.0,0.0,6.252,549545.0,17951.0,0.7442,24.12,1.329,44529.0,16.72,710127.0,23.37,978780.0,28.77,2002034.0,20.4,17.54,15.1
07/01/2023,159.0,7368349.0,0.08878,751.2,0.03166,2803.0,0.0,0.0,0.0,85653.0,92.87,4978408.0,0.0,0.0,0.0,1354.0,0.6192,2.187,1.523,0.002591,130.6,0.0,0.0,0.0,4.769,361265.0,15065.0,0.7958,18.93,2.958,-59200.0,20.31,-21348.0,24.91,48253.0,19.66,1187994.0,22.1,18.66,17.1
08/01/2023,148.6,8843368.0,0.05906,-692.4,0.05457,7255.0,0.0,0.0,0.0,91435.0,99.24,6683426.0,0.0,0.0,0.0,2558.0,0.532,4.809,92.7,0.1577,30450.0,0.0,0.0,0.0,4.825,521891.0,12434.0,0.8495,14.64,3.283,-146511.0,29.57,-441788.0,25.61,-119229.0,8.833,635279.0,25.1,20.19,15.6
09/01/2023,166.3,17240099.0,0.03747,4220.0,0.04368,5997.0,0.0,0.0,0.0,101773.0,110.6,11762653.0,0.0,0.0,0.0,2933.0,0.5626,5.212,1262.0,2.819,371184.0,169.3,0.2163,33239.0,13.52,1776513.0,9103.0,0.8511,10.7,0.0,0.0,32.51,2052550.0,25.54,1804864.0,7.851,839174.0,27.1,21.38,15.7
10/01/2023,172.5,14493958.0,0.02202,1594.0,0.0133,1314.0,0.0,0.0,0.0,105886.0,115.0,9864926.0,0.0,0.0,0.0,3795.0,0.6016,6.307,1166.0,2.604,256634.0,169.0,0.216,21237.0,12.64,1169259.0,5026.0,0.8492,5.918,0.7492,35281.0,31.01,1811802.0,25.88,1675618.0,16.5,1511924.0,26.2,21.85,17.0
