dayoftheyear,au nem nsw1 demand energy (GWh),temperature
0,193.20404174912863,0
0,192.3900437302523,1
0,191.45899288148624,2
0,190.40555354767665,3
0,189.22664117585953,4
0,187.92201144793287,5
0,186.4948768280684,6
0,184.95253026497144,7
0,183.3069488375837,8
0,181.57534263145786,9
0,179.78060670472684,10
0,177.95162751658737,11
0,176.12339071965442,12
0,174.33683594659385,13
0,172.63840731856317,14
0,171.0792568503902,15
0,169.71407233912495,16
0,168.59952176961858,17
0,167.79233214247103,18
0,167.34705055926713,19
0,167.3135672781536,20
0,167.73451154272703,21
0,168.64265814320365,22
0,170.05850264334146,23
0,171.9881730171412,24
0,174.42184275251208,25
0,177.33279396305002,26
0,180.6772486422788,27
0,184.39504324775132,28
0,188.41116906206852,29
10,193.2357843710594,0
10,192.42524303898153,1
10,191.49763538146797,2
10,190.44748859401736,3
10,189.27154343405715,4
10,187.96934220391154,5
10,186.5438467727639,6
10,185.0020670447907,7
10,183.35567320021758,8
10,181.62155731581444,9
10,179.82230223671849,10
10,177.98650870516997,11
10,176.14892685104007,12
10,174.35033643622006,13
10,172.63712293205793,14
10,171.06050462770838,15
10,169.67538018028952,16
10,168.53878643850408,17
10,167.70798241899294,18
10,167.23820563428524,19
10,167.18017944346226,20
10,167.57748195163992,21
10,168.46391502081207,22
10,169.86103285119034,23
10,171.7760002809021,24
10,174.19994901102118,25
10,177.10698397842825,26
10,180.453961943921,27
10,184.18112134674627,28
10,188.21358933519528,29
20,193.2703326340786,0
20,192.46408995676396,1
20,191.5409164611025,2
20,190.49520978137957,3
20,189.32353969872688,4
20,188.02523396653103,5
20,186.60299681728455,6
20,185.06354128162207,7
20,183.418209248539,8
20,181.68354526188102,9
20,179.88178200902968,10
20,178.04118820859884,11
20,176.19622426651748,12
20,174.38744890181817,13
20,172.66112220134247,14
20,171.06845832746694,15
20,169.6644950873478,16
20,168.50656793315977,17
20,167.65240215131897,18
20,167.15786767427596,19
20,167.07447398496294,20
20,167.44671518126796,21
20,168.30940417224662,22
20,169.68515679663088,23
20,171.58219823574717,24
20,173.9926629275089,25
20,176.8915437791748,26
20,180.2364166290784,27
20,183.9680228863937,28
20,188.0117398036411,29
30,193.30695714838,0
30,192.5057545266852,1
30,191.58789945403737,2
30,190.54766891274357,3
30,189.38146714930352,4
30,188.08840834386783,5
30,186.67093460243234,6
30,185.13545117903288,7
30,183.49295352063191,8
30,181.75961258621558,9
30,179.9572765513936,10
30,178.11383937730182,11
30,176.26342094292352,12
30,174.44630080552335,13
30,172.7085494652093,14
30,171.10130839739304,15
30,169.67968384373543,16
30,168.50123962016275,17
